# Per-child-age data means for the baseline figure. Sample: all one-child families, no parental-age restriction.
# GENERATED by tools/make_smm_targets.py from SMM_Moments_ByAge.dta -- do not edit by hand.
# c_p, e_p, a_p: model units (10k USD/yr). a_p EXCLUDES home equity.
# h_p, t_p, i_c: share of the 112h week.
# x_gach / x_lw: LOG human capital (PCA composite / Letter-Word), comparable
#   to log(model hc) up to an ADDITIVE constant log(M).
child_age,c_p,e_p,a_p,h_p,t_p,i_c,x_gach,x_lw
1,2.806319,0.352618,8.005306,0.298037,0.510407,0.007299,,
2,2.818292,0.390361,12.532194,0.302570,0.518804,0.010193,5.926926,5.814131
3,2.741916,0.389873,9.991757,0.307061,0.506481,0.007574,5.915869,5.851556
4,2.952715,0.385243,9.084412,0.311410,0.528093,0.017414,5.962507,5.898397
5,2.857595,0.377858,6.924550,0.312013,0.421813,0.017406,6.028817,5.975925
6,3.016323,0.325724,11.664611,0.309641,0.420691,0.029719,6.084822,6.064486
7,2.804337,0.302116,12.946151,0.310043,0.399727,0.038254,6.140176,6.125749
8,3.035372,0.283828,12.139105,0.310512,0.395017,0.037597,6.178657,6.172227
9,2.961811,0.278444,11.976163,0.310810,0.389005,0.051591,6.204974,6.205233
10,3.037609,0.249910,21.099606,0.306270,0.358048,0.047225,6.222325,6.224784
11,2.982012,0.254616,18.018457,0.303060,0.405598,0.047923,6.230707,6.235218
12,3.104671,0.240736,19.858393,0.299124,0.363166,0.056264,6.234945,6.242533
13,3.179951,0.311555,18.612234,0.301955,0.357492,0.050726,6.248854,6.258535
14,3.372110,0.362932,23.467590,0.305006,0.292732,0.040499,6.257637,6.268415
15,3.560139,0.484779,32.667719,0.310115,0.330217,0.051796,6.270351,6.282790
16,3.971996,0.573943,45.816685,0.312752,0.277712,0.050922,6.270634,6.279493
17,3.760898,0.650281,30.503067,0.313578,0.281570,0.051396,6.270758,6.280917
